









Frequency of observations in the selected location(s).:
Number of taxa: 	476

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
American Golden-Plover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001308	0.0025132	0.0	0.0	0.0	1.52E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.751E-4	0.0030684	0.019755	0.0074422	0.0033698	0.0064582	0.0016871	0.0017259	0.0015	0.0015	4.769E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Black-bellied Plover/golden-plover sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.929E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.902E-4	0.0	4.212E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Killdeer	0.0015	0.0	0.0	0.0	0.0	3.49E-4	0.0010269	0.019475	0.0540644	0.1075737	0.1535793	0.1981687	0.1774315	0.1696767	0.1506348	0.1443473	0.1477877	0.1423193	0.1727654	0.1861497	0.1896423	0.1833663	0.183087	0.1655369	0.1639198	0.1922669	0.1666667	0.176941	0.193209	0.19375	0.1543943	0.1641608	0.1560648	0.1414023	0.1583825	0.1366417	0.1151413	0.0714532	0.055091	0.0290356	0.0119218	0.0061263	0.0055499	0.0047584	5.679E-4	5.559E-4	0.001003	2.834E-4	
Semipalmated Plover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.041E-4	0.0034639	0.009798	0.015625	0.0014903	0.0	0.0041051	0.0	0.0	0.0010593	0.0025253	0.0099967	0.0473458	0.0456731	0.0484561	0.0678122	0.0802055	0.06698	0.0235889	0.0101971	0.0029523	0.0013807	4.919E-4	0.001037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Piping Plover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0071259	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
plover sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.068E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Upland Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014648	0.0016874	9.123E-4	0.001506	0.0019996	0.0036651	0.007079	0.0067327	0.0061576	0.0064217	0.0084633	0.0037076	0.0015152	0.0016661	0.0038259	9.615E-4	0.0	9.205E-4	7.902E-4	3.917E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hudsonian Whimbrel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.0E-4	0.0017361	0.0037258	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	4.808E-4	0.0015	0.0030684	0.0063216	0.0078339	0.0021061	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hudsonian Godwit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0078701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Marbled Godwit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Short-billed Dowitcher	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010643	9.036E-4	5.999E-4	0.0063657	0.0	0.0	0.0	0.0	4.454E-4	0.003178	0.0010101	9.997E-4	0.0033477	0.00625	0.0047506	0.0018411	0.0011853	3.917E-4	0.0012637	3.399E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Long-billed Dowitcher	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.602E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Woodcock	0.0	0.0	0.0	0.0	0.0	3.49E-4	0.0	0.0012701	0.0049847	0.0070375	0.0186061	0.0207107	0.0246293	0.0198439	0.0148926	0.0065961	0.0050175	0.0064759	0.0061988	0.0028935	0.0044709	0.0031683	0.0028736	0.0042811	0.0017817	0.0047669	0.0050505	0.0026658	0.0023912	0.0043269	0.0023753	0.0027616	0.0043461	0.0023502	0.0067397	0.0047587	8.435E-4	0.0031067	9.838E-4	0.003111	0.0028612	4.713E-4	5.045E-4	0.0	0.0	0.0	0.0	0.0	
Wilson's Snipe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.234E-4	3.834E-4	0.0	6.307E-4	0.0065402	0.0163358	0.0136009	0.0131836	0.012732	0.0054736	0.0010542	0.0017996	0.0011574	7.452E-4	3.96E-4	4.105E-4	7.135E-4	0.0	0.001589	0.0	0.0015	9.565E-4	0.00625	9.501E-4	0.0030684	0.0015804	0.0023502	0.0012637	0.0044188	0.0063264	0.0027615	0.0029513	0.0048393	0.0019075	0.001885	5.045E-4	0.0	0.0015	0.0	0.0	0.0	
Wilson's Phalarope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065987	0.0084877	0.0	0.0	0.0028736	0.0	0.0	0.0	0.0	0.0	0.0	0.0057692	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Phalarope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.726E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0020394	4.218E-4	3.452E-4	0.0	0.0015	0.0047687	0.0015	0.0110999	7.321E-4	0.0	0.0	0.0	0.0	
Red-necked Phalarope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.808E-4	0.0061758	0.0015342	0.0059265	0.0062671	4.212E-4	0.0074779	0.0021088	0.0010356	0.0	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red/Red-necked Phalarope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	3.452E-4	0.0	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
phalarope sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.068E-4	0.0	0.0015	0.0	3.399E-4	4.218E-4	0.0013807	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Spotted Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.513E-4	6.689E-4	0.0119629	0.0538426	0.1192033	0.1304217	0.1431714	0.1140046	0.0812221	0.0641584	0.0623974	0.0692116	0.0939866	0.125	0.1358586	0.1636121	0.1626016	0.1524038	0.1339667	0.111077	0.0482023	0.0266353	0.020219	0.0091774	0.0046394	0.0044874	0.0014757	0.0034566	9.537E-4	4.713E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Solitary Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.324E-4	0.0118116	0.040444	0.0409639	0.0283943	0.0034722	3.726E-4	0.0	0.0	0.0	0.0017817	0.0111229	0.0176768	0.0369877	0.0712578	0.0802885	0.0589074	0.0592206	0.0395101	0.0250685	0.0172704	0.0129164	0.0084353	0.0034518	9.838E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Yellowlegs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.513E-4	6.689E-4	0.0024414	0.0059825	0.0118595	0.0073795	0.0093981	0.0046296	0.0	0.0	0.0	7.135E-4	0.0044543	0.0105932	0.0111111	0.0203266	0.0272597	0.0538462	0.0413302	0.0362074	0.0252864	0.0199765	0.0105307	0.0098572	0.008857	0.0065585	0.0029513	0.0017283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Willet	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0027368	1.506E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.051E-4	3.332E-4	9.565E-4	0.0139423	0.0042755	0.0012274	0.0023706	7.834E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Greater Yellowlegs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36E-4	0.0022619	0.0037904	0.0048828	0.0061359	0.0071461	0.0028614	0.0013997	0.0	0.0	0.0	0.0	3.568E-4	4.454E-4	0.0026483	0.0060606	0.0136621	0.0081301	0.0192308	0.0152019	0.0257748	0.0209403	0.009009	0.0084246	0.0115568	0.008857	0.0051778	0.0103296	0.0096785	0.0071531	0.0032988	0.0015136	3.66E-4	0.0	0.0	0.0	0.0	
Lesser/Greater Yellowlegs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-4	0.0015	2.23E-4	0.0	0.0015	4.561E-4	1.506E-4	2.0E-4	1.929E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.051E-4	0.0013329	9.565E-4	0.0024038	0.0014252	0.0024547	0.0023706	3.917E-4	0.0	0.0	8.435E-4	0.0	0.0	3.457E-4	0.0	0.0	0.0	3.66E-4	0.0	0.0	0.0	0.0	
Ruddy Turnstone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.506E-4	7.998E-4	0.0073302	0.0037258	3.96E-4	0.0	0.0	0.0	0.0	0.0	0.0019993	0.0066954	0.0038462	0.0033254	0.0104326	0.015804	0.0082256	0.0084246	0.0013596	4.218E-4	3.452E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Knot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.929E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052257	0.0036821	0.0055314	0.0019585	0.0012637	3.399E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Stilt Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.332E-4	0.0057389	0.0197115	0.0	3.068E-4	0.0019755	3.917E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Buff-breasted Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036821	0.0098775	0.0113592	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sanderling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0023148	3.726E-4	0.0	0.0	0.0	8.909E-4	0.0010593	0.0010101	0.008997	0.0066954	0.0072115	0.0232779	0.0359006	0.0410905	0.04387	0.014743	0.0115568	0.0067482	0.0048326	0.004427	0.0034566	0.0028612	4.713E-4	0.0015	0.0	0.0	0.0	0.0	0.0	
Dunlin	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.919E-4	2.441E-4	0.0	3.041E-4	0.0010542	0.0033993	0.0061728	0.0011177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.212E-4	0.0013596	0.0029523	0.0017259	0.0049188	0.0103699	0.0090606	0.00377	0.0015136	7.321E-4	0.0	0.0015	0.0	2.834E-4	
Purple Sandpiper	0.0018154	0.001292	0.0031167	0.0024832	9.699E-4	0.0010471	0.0015	0.0046571	0.0126534	0.0016756	0.0	4.36E-4	2.513E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.726E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021962	0.0	5.559E-4	0.0	0.0053855	
Baird's Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062171	0.0048077	0.0038005	0.0104326	0.0059265	0.0054837	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-rumped Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.858E-4	3.726E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043042	0.0105769	0.0023753	0.0076711	0.0027657	0.0054837	0.0012637	3.399E-4	0.0016871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Least Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.136E-4	0.0074502	0.0159639	0.0295941	0.0219907	0.0037258	0.0019802	0.0012315	0.001427	0.0097996	0.0217161	0.0409091	0.0526491	0.0621712	0.0870192	0.0736342	0.0567659	0.0434611	0.0227184	0.0046335	0.0030591	0.0016871	6.904E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pectoral Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	8.919E-4	9.766E-4	1.534E-4	9.123E-4	3.012E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020202	0.005998	0.0176949	0.0168269	0.007601	0.0119669	0.0102726	0.009009	0.0033698	0.0027192	0.0037959	0.0031067	9.838E-4	0.001037	4.769E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Western Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0126263	0.008997	0.0	0.0	0.0	0.0	0.0	7.834E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Semipalmated Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.506E-4	0.0039992	0.0148534	0.0089419	0.0015842	8.21E-4	0.0	0.0	0.0058263	0.0070707	0.0213262	0.0368245	0.0447115	0.0579572	0.0558454	0.0418807	0.0223267	0.0046335	0.003399	0.0012653	0.0015	4.919E-4	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Western/Semipalmated Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
peep sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52E-4	1.506E-4	0.0015997	0.0015432	0.0022355	0.0	0.0	0.0	0.0	0.0021186	0.0015	0.0019993	0.0062171	0.0096154	0.0114014	0.0092053	0.0114579	0.0031336	0.0	3.399E-4	0.0	0.0010356	0.0	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Calidris sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.332E-4	0.0	0.0	0.0	3.068E-4	0.0	0.0	0.0	0.0	4.218E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
large shorebird sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.951E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
shorebird sp.	2.593E-4	4.307E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-4	2.513E-4	4.459E-4	7.324E-4	3.068E-4	4.561E-4	0.0013554	2.0E-4	0.0015432	0.0014903	0.0	0.0	0.0	0.0013363	0.001589	0.0015152	0.002999	0.0023912	0.0052885	0.0085511	0.00583	0.0082971	0.0031336	0.0029486	0.0020394	0.0021088	0.0010356	0.0039351	0.001037	0.0014306	9.425E-4	0.0	7.321E-4	0.0	0.0	0.0	0.0	
Long-tailed Jaeger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	7.834E-4	0.0	0.0030591	0.0021088	0.0024163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Parasitic Jaeger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	3.068E-4	3.951E-4	0.0011751	8.425E-4	0.0064582	0.0059047	0.0020711	0.0024594	0.001037	0.0028612	0.001885	5.045E-4	0.0	0.0	0.0	0.0	0.0	
Long-tailed/Parasitic Jaeger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	4.212E-4	0.0	0.0	6.904E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pomarine Jaeger	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0012653	0.0	0.0015	0.0015	0.0014306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Parasitic/Pomarine Jaeger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.218E-4	0.0	0.0	0.0	4.769E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
jaeger sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.951E-4	0.0011751	0.0	0.0020394	0.0016871	0.0013807	4.919E-4	0.001037	9.537E-4	4.713E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Thick-billed Murre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Little Gull	0.003112	0.0064599	0.0031167	0.0021284	4.85E-4	3.49E-4	0.0	0.0	0.0011503	0.0	9.461E-4	8.72E-4	0.0022619	0.0022297	9.766E-4	4.602E-4	1.52E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046026	0.0051363	0.0047004	0.0	0.0122366	0.00717	0.0048326	0.0113133	0.0048393	0.0166905	0.0193214	0.0095863	0.0142753	0.0136286	0.0022235	0.001003	0.0022676	
Black-legged Kittiwake	0.0114108	0.0099053	0.0057881	0.0021284	9.699E-4	3.49E-4	8.215E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.068E-4	0.0	0.0	0.0	0.003739	4.218E-4	3.452E-4	0.0039351	0.003111	0.0081068	0.0113101	0.0141271	0.0032943	0.0073822	0.0011117	0.001003	0.0022676	
Sabine's Gull	0.0	0.0	0.0	7.095E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033753	0.0015804	0.0058754	0.0	0.0054385	0.0033741	0.0058681	4.919E-4	0.002074	0.0023844	0.0023563	0.0015	0.0201318	0.0034072	5.559E-4	0.0060181	2.834E-4	
Bonaparte's Gull	0.060166	0.0503876	0.0351736	0.0159631	0.0092144	0.0048866	0.0032861	0.0042337	0.0038344	0.0046917	0.0075686	0.0231088	0.0595627	0.0938685	0.0651855	0.0271514	0.0127718	0.0085843	0.0025995	9.645E-4	0.0014903	0.0015842	8.21E-4	7.135E-4	0.0040089	0.0026483	0.0045455	0.002999	0.0071736	0.0134615	0.0228029	0.0242406	0.0300277	0.0411281	0.014743	0.0312712	0.0303669	0.0472903	0.089031	0.1157968	0.1649976	0.1517436	0.1337033	0.1445827	0.1067575	0.0733741	0.0747242	0.0518707	
Black-headed Gull	2.593E-4	0.0015	0.0022262	7.095E-4	0.0014549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.441E-4	6.136E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066588	0.0037911	0.0027192	0.0	0.0	4.919E-4	0.0	0.0	0.0	0.0015	0.0	0.0045429	0.0	5.015E-4	0.0011338	
Laughing Gull	0.0067427	8.613E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52E-4	0.0	0.0	1.929E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0052257	0.0033753	0.0019755	3.917E-4	0.0	0.0	0.0	0.0	0.0019675	6.913E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0079365	
Franklin's Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.506E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.068E-4	0.0	0.0015	4.212E-4	0.0015	0.0015	6.904E-4	4.919E-4	0.002074	0.0015	0.0084826	0.0045409	0.0	0.0	0.0	0.0	0.0	
Ring-billed Gull	0.2735996	0.2553833	0.2195013	0.2000709	0.2070805	0.1500873	0.1302115	0.3137172	0.3535276	0.3853887	0.4036582	0.4388489	0.4186982	0.47068	0.4475098	0.4187759	0.3916679	0.365512	0.4047191	0.3973765	0.4042474	0.380198	0.3743842	0.3499822	0.3398664	0.3199153	0.2868687	0.2922359	0.312769	0.3100962	0.319715	0.3402884	0.3670486	0.3642773	0.3100253	0.3242692	0.3213834	0.3282706	0.3408756	0.3408227	0.3471626	0.3741753	0.3708375	0.3887262	0.326519	0.3085047	0.3179539	0.2930839	
American Herring Gull	0.1719398	0.1731266	0.1607302	0.1606953	0.1687682	0.1085515	0.08626	0.177392	0.1483896	0.1323727	0.1182592	0.1288424	0.1249058	0.128874	0.1020508	0.080227	0.057321	0.0460843	0.0571886	0.0491898	0.0525335	0.0463366	0.0402299	0.0435248	0.0610245	0.0625	0.0767677	0.0903032	0.1099952	0.1240385	0.1467933	0.1531145	0.1655472	0.155895	0.1204718	0.1274643	0.1277942	0.1435968	0.1475652	0.148289	0.1692895	0.1583412	0.1806256	0.2031479	0.1697899	0.1873263	0.1780341	0.1740363	
