









Frequency of observations in the selected location(s).:
Number of taxa: 	476

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Redhead	0.0687241	0.0930233	0.0992876	0.1039376	0.1086324	0.0652705	0.0484699	0.1151566	0.1096626	0.0871314	0.0968149	0.0706344	0.0562956	0.0392419	0.0339355	0.0088971	0.0015205	6.024E-4	0.0013997	0.0013503	3.726E-4	0.0015842	4.105E-4	0.0	0.0	0.0	0.0010101	6.664E-4	4.782E-4	0.0019231	0.0014252	3.068E-4	0.0011853	0.0023502	0.0016849	0.0013596	0.0046394	0.0075941	0.0034432	0.0072589	0.0071531	0.0136664	0.0302725	0.0468521	0.0346394	0.0461367	0.0541625	0.0456349	
Ring-necked Duck	0.0202282	0.0223945	0.0271594	0.0191557	0.0164888	0.0101222	0.0088314	0.0359865	0.0506135	0.0874665	0.1444339	0.1443209	0.1409902	0.1177258	0.0917969	0.0549164	0.0152045	0.0018072	7.998E-4	1.929E-4	0.0	0.0	0.0015	0.0010703	8.909E-4	0.0010593	0.0015152	9.997E-4	0.0014347	0.0	4.751E-4	0.0015342	0.0023706	0.0011751	0.0025274	0.0050986	0.00717	0.0151881	0.0152484	0.023505	0.0181211	0.0216777	0.0201816	0.0215959	0.0193072	0.0233463	0.0160481	0.0141723	
Tufted Duck	0.0041494	0.003876	0.0040071	0.0028379	0.0015	3.49E-4	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0017592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.713E-4	0.0161453	0.0215959	0.0045429	0.0033352	0.002006	0.0090703	
Greater Scaup	0.0809129	0.1029285	0.1135352	0.1252217	0.1357905	0.0848168	0.0595605	0.1430991	0.118865	0.0901475	0.0813623	0.0776106	0.0625785	0.0523969	0.0351563	0.0138058	0.0044093	0.0013554	3.999E-4	5.787E-4	3.726E-4	0.0	0.0	3.568E-4	4.454E-4	5.297E-4	5.051E-4	0.0	0.0015	9.615E-4	0.0014252	0.0021479	0.003951	0.0	0.0015	0.0023793	0.0059047	0.0089748	0.0113133	0.0120982	0.022413	0.0282752	0.0403633	0.0611274	0.0488359	0.0605892	0.0621866	0.0634921	
Lesser Scaup	0.0329357	0.042205	0.0449688	0.0461156	0.0509214	0.0303665	0.021565	0.050381	0.0421779	0.0338472	0.0372122	0.0481796	0.0537824	0.0492754	0.0361328	0.0204019	0.0085145	0.0036145	0.0021996	0.0015432	7.452E-4	7.921E-4	0.0	0.0	0.0	0.0	0.0030303	0.0016661	0.0	9.615E-4	0.0	0.0	0.0011853	3.917E-4	0.0029486	0.0030591	0.0029523	0.0089748	0.0093458	0.0076046	0.0095374	0.0080113	0.0146317	0.022694	0.0187394	0.0183435	0.0230692	0.0209751	
Greater/Lesser Scaup	0.0111515	0.0258398	0.0231523	0.0351188	0.0295829	0.0184991	0.0141713	0.0266723	0.0218558	0.0134048	0.0116682	0.0113364	0.0130686	0.0136009	0.0109863	0.0035281	0.0024327	9.036E-4	3.999E-4	7.716E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.782E-4	0.0	0.0	0.0015	7.902E-4	3.917E-4	0.0	0.0016995	0.0025306	0.0044874	0.0059026	0.0038023	0.0114449	0.0098963	0.0161453	0.0190337	0.0249858	0.0227904	0.0195587	0.0198413	
Aythya sp.	0.0028527	0.001292	0.0022262	0.0046116	0.0024248	0.0017452	0.0010269	0.0025402	0.0015337	3.351E-4	3.154E-4	4.36E-4	0.0	0.0015	2.441E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.218E-4	0.0	4.919E-4	0.0	4.769E-4	0.0014138	0.0040363	0.0043924	0.0028393	0.0022235	0.0025075	0.0011338	
King Eider	2.593E-4	0.0017227	0.0	3.547E-4	0.0014549	0.0024433	0.0	0.0016935	7.669E-4	0.0023458	0.0047304	0.0017441	0.0	0.0015608	4.883E-4	1.534E-4	3.041E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0164939	0.0105954	0.0091508	0.0022714	0.0011117	0.0	0.0011338	
Common Eider	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062171	9.615E-4	9.501E-4	0.0	0.0	0.0	0.0	0.0	0.0	3.452E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Harlequin Duck	0.0049274	0.001292	4.452E-4	7.095E-4	9.699E-4	3.49E-4	6.161E-4	0.0029636	0.0038344	0.0043566	0.0015	0.0015	0.0	0.0026756	7.324E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	9.425E-4	0.012109	0.0161054	0.0034072	5.559E-4	0.001003	0.0096372	
